On the 0th level of the search tree
- Adding the 39 feature with accuracy: 0.8226
- Adding the 40 feature with accuracy: 0.8262
- Adding the 41 feature with accuracy: 0.827
- Adding the 42 feature with accuracy: 0.8262
- Adding the 43 feature with accuracy: 0.8346
- Adding the 44 feature with accuracy: 0.8268
- Adding the 45 feature with accuracy: 0.8278
- Adding the 47 feature with accuracy: 0.8248
- Adding the 48 feature with accuracy: 0.8302
- Adding the 49 feature with accuracy: 0.8312
- Adding the 50 feature with accuracy: 0.8216

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 7, added feature 32 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32] and local maximum accuracy 0.8364

On the 8th level of the search tree
- Adding the 2 feature with accuracy: 0.8132
- Adding the 3 feature with accuracy: 0.8094
- Adding the 5 feature with accuracy: 0.8178
- Adding the 6 feature with accuracy: 0.8022
- Adding the 7 feature with accuracy: 0.8118
- Adding the 9 feature with accuracy: 0.8114
- Adding the 11 feature with accuracy: 0.8152
- Adding the 12 feature with accuracy: 0.8134
- Adding the 13 feature with accuracy: 0.811
- Adding the 14 feature with accuracy: 0.816
- Adding the 15 feature with accuracy: 0.8142
- Adding the 16 feature with accuracy: 0.809
- Adding the 17 feature with accuracy: 0.8152
- Adding the 19 feature with accuracy: 0.8164
- Adding the 20 feature with accuracy: 0.8138
- Adding the 21 feature with accuracy: 0.813
- Adding the 23 feature with accuracy: 0.8028
- Adding the 24 feature with accuracy: 0.821
- Adding the 25 feature with accuracy: 0.8092
- Adding the 26 feature with accuracy: 0.816
- Adding the 27 feature with accuracy: 0.8106
- Adding the 28 feature with accuracy: 0.821
- Adding the 29 feature with accuracy: 0.8094
- Adding the 30 feature with accuracy: 0.8076
- Adding the 31 feature with accuracy: 0.8104
- Adding the 32 feature with accuracy: 0.8178
- Adding the 34 feature with accuracy: 0.8108
- Adding the 35 feature with accuracy: 0.8064
- Adding the 36 feature with accuracy: 0.8076
- Adding the 37 feature with accuracy: 0.8196
- Adding the 38 feature with accuracy: 0.8188
- Adding the 39 feature with accuracy: 0.8118
- Adding the 40 feature with accuracy: 0.8082
- Adding the 41 feature with accuracy: 0.8152
- Adding the 42 feature with accuracy: 0.8088
- Adding the 43 feature with accuracy: 0.824
- Adding the 44 feature with accuracy: 0.815
- Adding the 45 feature with accuracy: 0.8058
- Adding the 47 feature with accuracy: 0.8122
- Adding the 48 feature with accuracy: 0.8022
- Adding the 49 feature with accuracy: 0.813
- Adding the 50 feature with accuracy: 0.809

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 8, added feature 42 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42] and local maximum accuracy 0.824

On the 9th level of the search tree
- Adding the 2 feature with accuracy: 0.7956
- Adding the 3 feature with accuracy: 0.7938
- Adding the 5 feature with accuracy: 0.7956
- Adding the 6 feature with accuracy: 0.793
- Adding the 7 feature with accuracy: 0.7994
- Adding the 9 feature with accuracy: 0.7972
- Adding the 11 feature with accuracy: 0.7988
- Adding the 12 feature with accuracy: 0.8
- Adding the 13 feature with accuracy: 0.7946
- Adding the 14 feature with accuracy: 0.8038
- Adding the 15 feature with accuracy: 0.7964
- Adding the 16 feature with accuracy: 0.7904
- Adding the 17 feature with accuracy: 0.8072
- Adding the 19 feature with accuracy: 0.8048
- Adding the 20 feature with accuracy: 0.7946
- Adding the 21 feature with accuracy: 0.7938
- Adding the 23 feature with accuracy: 0.793
- Adding the 24 feature with accuracy: 0.8058
- Adding the 25 feature with accuracy: 0.8038
- Adding the 26 feature with accuracy: 0.7988
- Adding the 27 feature with accuracy: 0.8028
- Adding the 28 feature with accuracy: 0.795
- Adding the 29 feature with accuracy: 0.7976
- Adding the 30 feature with accuracy: 0.798
- Adding the 31 feature with accuracy: 0.7942
- Adding the 32 feature with accuracy: 0.7922
- Adding the 34 feature with accuracy: 0.7912
- Adding the 35 feature with accuracy: 0.7964
- Adding the 36 feature with accuracy: 0.7958
- Adding the 37 feature with accuracy: 0.7964
- Adding the 38 feature with accuracy: 0.8018
- Adding the 39 feature with accuracy: 0.7994
- Adding the 40 feature with accuracy: 0.798
- Adding the 41 feature with accuracy: 0.7898
- Adding the 42 feature with accuracy: 0.798
- Adding the 44 feature with accuracy: 0.7942
- Adding the 45 feature with accuracy: 0.7896
- Adding the 47 feature with accuracy: 0.7978
- Adding the 48 feature with accuracy: 0.792
- Adding the 49 feature with accuracy: 0.7988
- Adding the 50 feature with accuracy: 0.7896

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 9, added feature 16 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16] and local maximum accuracy 0.8072

On the 10th level of the search tree
- Adding the 2 feature with accuracy: 0.7836
- Adding the 3 feature with accuracy: 0.7852
- Adding the 5 feature with accuracy: 0.7824
- Adding the 6 feature with accuracy: 0.7856
